target,text
p,@CartoonBeardy Excellent! 
p,"@ddlovato Hey Betie, "
p,"Feeding ducks now, mucho fun "
p,adding friends on youtube channel. 
n,@Dan2Shambles srry i left but my smart laptop doesn't like blogtv 
p,The simpsons will start soon 
p,"ok, this is likely as good as it'll get, so once I get the intro, we'll be off to the races "
p,"@ricoexplainsit - yeah I saw on your blog that you like football! Who do you support?  aww, thanks so much! (am smiling. lol)"
p,"@ciphasounds The Ropers I think, and threes a crowd.. hey homie slice "
p,"@zaznuriah You can do it, Kak Zaza!  Anyway, saw your sister in 17. She's rockin' it!"
p,@jimmywhite09 aweesomee now thats what im talkin bout hehe 
p,Brunch and such. 
n,"@RitaDLewis @stephcrumbley- where do u guys get this endless NRG from? Lawd, I still can't get out the bed "
n,I am giving up for a while...ttyl 
n,doing homework 
p,today was great 
p,thinking about jb 
p,yay for naps! 
p,I did the mini marathon yesterday for the coombe hospital in dublin where i was born! it was gr8 craic! 
n,why is the universe trying me like this....  
n,@AlejandraDuhh i so would but theres no more room in the car 
p,So random and awesome  â« http://blip.fm/~8a7un
p,"@RogtheDodge79 Tweet soon Rog, nice to hear from you "
n,I just beat myself at monopoly 
p,"goodmorning every1! today's agenda: Dancetour! very nice weather, so it should be great! just downloaded season 9 DBZ!   top notch tv"
p,"@kama_sue Thank you, though me as a role model frightens me some.  "
n,@aarondhoffman I don't like that idea at all 
p,@ShaddyBabeBiTch awesome 
n,There goes my storm!  fak traffic!
n,i seem to have inhaled my lunch amazingly quickly 
p,@YoungQ May I suggest Red Bull or a Starbucks Coffee 
p,@mileycyrus it's called graduating High School!  You'll understand it someday! 
n,@Yampolito Not a bad oc on stock air. She stable under load? RAM good? I miss my old oc hobby 
p,@NeonBlueTornado thanks. i know im clever. OMGG 50 SUBSCRIBERS WOOOT 
n,just kicked the door and done something to my leg  lmfao x
p,@Lagios2424 no she isn't 
p,@yme #HyvesRedesign tjaap that is 
p,"@paris_corrupted http://twitpic.com/6ln68 - I should do that  i'll make a better cake than you ;p love how you stack everything up, MA ..."
p,"Going star-gazing tonight with hubby! Bringing tripod &amp; camera along, who knows, I may be able to get some star trails "
p,@jonhuie  - You're welcome. Glad we're followee and follower 
p,tanning with my best friend 
n,@TheFuckingQueen Wishing you a happy birthday for tomorrow. I'd come round to the Palace but I'm in Manchester tomorrow which blows 
n,sad...i just made the call for a new debit card...i'm coming to terms with my lost wallet. 
p,"@SpiderbiteArt Score one for you, and one for walking! "
n,@marauder_bex - this is not good as my bff has decided he wants to go shopping 
n,@DonnieWahlberg Dances with Wolves is on and thought of you....no man to watch it with tho 
n,"@LauraaaaS I know.  it's ok though, I know that you wanted to but can't. Lol."
p,@minnyyy revision makes my back hurt. now I'm doing lying down revision 
n,"I'm kinda tired, and it really sucks that I didn't get to say bye to any of my friends.. "
p,@kiara1023 lol I need u! Cuz u held shit down with me at tabu! You &amp; @miszcalonda aka my ride or dies 
n,@electricbluebrd  ... today?
p,"going to blockbuster to rent he's just not that into you which comes out on dvd today  Then going tanning, super bed today so Im extra TAN"
n,The early adopter snob in me is a little disappointed my new phone looks EXACTLY like my old phone.  
p,"@GinaDiCello well, then I just need to enlighten the bday girl...who is she?  "
n,..... guess I'll have to be a productive member of society again. 
p,@beregulina ?????????????? ????????? ?? ?????????? 
p,"@FreeHearted oh woah gotta show me! What'd you get? Yeh, gotta love the parentals You workin july 3rd? we fly out at 2pm that day "
p,HAPPY MOTHER'S DAYYYY!!! 
n,I Am so fucking bored  and the computers at the school haz no speakers or pronz 
p,Awesome way to increase your followers http://tinyurl.com/qawroh Works quite well! 
p,With @wow_nk in her yard. Rockin it out 
p,Rae is drinking a very blue drink  Its yum though   Blue coconut margarita...yea for new drinks 
p,"I just woke up, so so so tired still! But mums making me breakfast  - I'm a greedy child"
p,@MandyyJirouxx I had sushi for lunch it was sooooo yummy. 
p,"Off to the beach in Lowestoft with @libberykathro, my mum and the dog "
p,"Aaaah, I jus feel like bragging... I have the lovely, super sexy @karismoxley moo on my Twitter list &amp; she says she loves me   Stokedness!"
p,"Is so done, glad it's a slow weekend, and Dana your tweets bring a smile to me everytime "
p,@alireddeer  Yep thats about it  !
n,@Misfitxchaosx I don't have either of those apps. 
p,I also got an ostrich beanie baby....a mexican ostrich! 
p,"in lieu of lost, pineapple express makes me a happier person. god's vagina?  safety first then teamwork?  phucking classic. "
p,@Twinklestricks Thanks &amp; glad you enjoyed the game Robert! 
n,bar closed 
n,"omg, serious toothache going on right now "
p,@slckrqn Thank you so much 
n,@HDOLLAZ lol shut up...nothin here at work sleepy  tired just wanna go home
p,Thinking of this time next weeeeek.   
n,Why are beds always comfyer in the morning? I can't recreate such comfort 
n,trying to plan a roadtrip just makes you realize how broke as a joke i am 
p,@thehoodnerd aww thanks boo.  that made me smile.
p,feel suprisingly well after last night. just a bit tired 
n,@sweetsofgeorgia TweetDeck has been fine for me. I'm having problems with iPlayer Desktop 
p,making you smile is the highlight of my day! 
n,Doin absolutely nothing today!! 
n,@13thoughts Aww man  What am I meant to do now? Might as well see if I can start uni early
n,@alexandrachiu is it?! It felt colder this morning!  BRING ON THE SUNSHINEEEEEE  x
p,@_Whirlwind hello  thanks for your tweet nice to meet you  You can find percy's pattern here - http://ow.ly/aQ1R
n,@iwearprada  ohh darling. The last time i saw you are only 5 hours ago but i miss you.  // iÂ´ll never forget the moments with u.  babe ilu
p,"@Katkick Morning  it's beautiful here too! Pools open this weekend, I think I know where I will be. LOL Have a great day!"
n,600th . finally . bored . im gonna miss @karkasian &amp; @yellowtreats when there gone !  &gt; SLEEPOVER = 092909 --- 093109 ;D &gt; ah ; studying !
p,@blak4ever I'll sure try!!  It's gonna be my second @ddlovato concert in a little over a month! (I went to the one in Argentina on May 21)
p,@MidnightRyder And that's the last of my DA posts for a while 
p,@DanSpring what can I do for ya this evening?  I'm here to help   #wordpress #support
n,@desboobs DAMN!!! That's wasnt right!!!  LOL!
p,yes! found a site to watch MTV Movie Awards  http://bit.ly/13vMpL
n,so bored 
p,@dee_carney Thanks Dee  It's just coz my boys go stay with their dad &amp; I miss them.  Even if they are obnoxious teens LOL
p,Entering hour 3 @ the gym woooo feeling great  come join me.
p,@SherriEShepherd And I  think that you might be a little defensive.I was just sayin'.. Mamas should have fun as much as possible! 
p,Another great work.  http://lookbook.nu/look/132622
n,Big time sunburn... Ouch 
n,"Going offline now, half 10, school tommorow, Bummmer "
n,"finally reachedCamden, NJ..... hate the turnpike "
p,@tweetcomedyclub oh and now you've got @stephenfry. That's the holy grail right there. 
n,@mediahasyou Looks like the politicians are digging a *deep* hole for us. Bailout for insurers already making billions.  #tlot #tcot
n,Is it really almost time to go back to Chico? Im excited but at the same time going to miss home 
p,hookah is so much better when youre drunk. 
n,No Internet or tv.  gotta wait for the AT&amp;T guy to make it better &amp; faster. &gt;
n,"About today's theme song, &quot;Jumped up out the beeeeed but my mask on, to try to get the pollen out my face. Yeeeeeah  &quot;"
n,@shayes287 
p,@ddlovato; Your Awesome! I love to draw you! I hope you'll ever see it! (: http://twitpic.com/4lvns  I hope you'll come to Holland soon!! 
n,My mom was about to get me Sims 3 but it was SOLD OUT! 
n,No postcard from Kuala Lumpur  but i get 2 from New Zealand. Yeah baby 
n,so ill  makes for a crap holiday and birthday
p,@latifaM I asked her to m@r*y me. She refused. Now she is eng@ged/ m@Rr!ed. So I said all the best. Makes sense now? 
p,@TheRealTsai 
p,@jaspreetgill http://twitpic.com/6o84k - Jas seriously you are amazing! I can't wait until I own one of your drawings! 
n,Oh for fuck sake. I just found a video on my flash drive of Dean Gaffney making Frank Sidebottom eqaculate using magic. I am ashamed 
p,Guess whos going to summerjam 
p,@lugt what else is new? 
n,is it the weekend yet ? 
n,@Shontelle_Layne hmmm im so sorry.. people keep saying this.. who is she?  x
n,@LoveALittleLess feeling bad about @KrisAllenMusic.  Thought it was really him...
n,Not ready for Monday or to say goodbye to my mom. 
p,@JonInDenver &quot;my only question is why did I not go Full Ftame sooner.&quot; The price?  That's my excuse.
n,rain in north florida again today.... shuttle launched postponed. 
n,"I think we have a new gang in our area, teen boys walking around together in black pants &amp; yellow shirts that don't look athletic "
p,Good morning  Wow - that sky is so blue!
n,"Really disappointed with dinner,the pasta is nasty.Feel all sulky now,and so not in the mood to work but I have to to get it in on time. "
n,"@stephanie_hall -blushes- i don't know how to, you know? AHHH! Millie and Mouth &lt;3 and i don't know if he likes me though "
p,last day on expo!! off all weekend and its supposed to be beautiful 
n,"@ClownsAreEvil by the way, I really do think that clowns are evil. They totally scare me!! "
n,@StuntasticB i'm jealous b !!  shop lots and kidnap sexy boys : D
n,work 2m  bed
p,@trent_reznor Congratulations! That is an amazing accomplishment  Can't wait to see you on Sunday! 
n,@jonasbrothers http://twitpic.com/7gowf - lucky girls :/ you are so gorgeoous WE MISS U IN BRAZIL GUYS  que issoooooooo maaaano olha e ...
n,im in bed poorly 
n,"@ItsJonLevine @shareasalenews I am completely offended    ok, not really."
n,@lilaznangel16 hey if it makes it any better i jus looked out the window and its pissing down now  gotta love it here -.-
n,@xofyrefly hahah sry SVU was rly intense 
n,@La_Dominicana my lunch is in 1hour15mins...  
p,@KeithRueca lol. I guess.*sigh* I better do better next time. Get lots of sleep. 
p,@JamieTrendy Me too BB t - 4 &amp; counting  #BB10 http://bit.ly/oqUu2 http://bit.ly/le3vJ http://bit.ly/uE7Kv ht... http://bit.ly/Bd4gw
n,@Codylfriend - you're not sweet 
p,Just upgraded from #Win7 Beta to RC. Worked flawlessly but took about 2 hrs. 
n,is over tonight... 
p,@DaphnePawluczuk Wonderful news about your apartment space  I can't wait to see it.
p,"Jon &amp; Kate + 8= my time, and their marriage ending... I dont know how I can watch this disaster but I am fasinated "
p,ew... monday...   out tonightt 
n,@BecomingJennie &quot;The Voice of Iran&quot; 
n,@JamesMW78 I can't find my cat 
p,d@zackalltimelow I REALLY CANT WAIT TO MEET YOU. YOU WOULD MAKE MY LIFE! MY FRIEND MEET YOU AND YES LIKE SHE SAID YOU R A SWEET GUY! 
n,Just came back from Hospital (Step-dad broke his legt a few months ago - routine check.) Back to the grind.... 
n,@ryanr09 Just tired. About to go home from work.  need sleeeeeeeeep
p,i am now so tired and i kinda needa pee... goodnight 
p,Listening to Good Charlotte  
p,@mandiem Thanks for helping us get discovered by @tredlin. 
n,@ether_radio i know! and she has the most awesome hair everrrr. i actually regret not going to mcfly now. 
p,@TheEllenShow : its cool we love with or with out it!! 
p,@moonsaults let me know if samberg does anything cute. 
p,"its not a d&amp;b song, its a 132 bpm breakbeat tune called &quot;The Time Is Now&quot; . . . get ready "
p,"Ask for Abdi, tell him Daniel from Thirsty In LA sent you. "
n,no  gave away my tickets since i had no one to go with
p,@pdurham  vodka and orange... pear cider... and peach schnapps... mmm 
n,"@ThatKevinSmith i wish so much i could go to the carnegie hall show   but i live in st louis and i am just a college teacher, no $$"
p,"is loving the love of her life. What a wild day  Now I'm in bed, texting, yawning, waiting. Goodnite world "
p,has only one more working day left this month - hahahaha - it's been awhile since I last holidayed 
n,  why is it raining?
n,@mommapuff wot about me?  no love? 
p,"I was approved for my transfer for work. Its offcial, ill be moving and starting my life over in two weeks. T-town here I come!!! "
p,@imraphael @hsubidooby Scrub and moisturize... doesnt even sounds like 'showering'... maybe u should be inclined to follow me en. rephael 
p,"@bjfletcher, hah, no. Maybe next time.... "
p,finally done taking care of business for 2day...now I gotta relax and get some sleep  Thanks for all the love and support! Love yall!
p,"Such a lovely day  Warm sunshine, sitting in garden, shopping for garden toys, chilling, paddling, washing hanging in sun, pear cider "
p,@Bapf with a uber-great sound track 
p,"FAITH: is not believing that God can, but Knowing that God will.    "
p,@SagLady09 Good morning...nice to hear from you...hope you get to enjoy this beautiful day. 
p,New background too 
n,tomorrow i'm gonna have a really busy day...... i have a job 
n,heading to graduation  I do NOT like this....oh and Nick....I'll be looking for you....
p,"@janinaz http://twitpic.com/67dl7 - haha, thats funny "
n,@BenOtis Did not have the advantages of Photoshop that your employment offers  
n,Back in chiiiiitown. 
p,@amazondotjon love 'em  you've got great taste.
n,"ish, i missed her "
n,"@808camry Yeah, I could HEAR them all laughing at me, it was so mean! I only forgive Kelli, because I like her so much. The rest of you.. "
n,Is already ready to go home.  
n,is frustrated that the radio went off the air and I'm missing the last hour of Bob and Sheri 
p,Ahaaa gottaaa go now. ily [you know who!] shopping e.c.t 
p,@theDebbyRyan I think this is a good quote &quot; you never know how strong you are until being strong is the only choice you have&quot; 
p,"@caseyore Yeah, I kinda remember that...hmm, if I ever remember who that was, I'll be sure to thank them!  "
p,not much just trying to figure this out 
n,"Wewt, made it home in one piece. Note to self, next half-marathon cycle attempt, take puncture repair kit and a pump!! Ho hum "
n,laundry's done... but sun's not out... what to do what to do... i have another 2 loads to do 
p,@WaiMingLee i still have home made ice cream cake for after 
n,@fuc_ju_my_fren i know.  it sucks saying it but whatever. onto the next one right? when are you leaving?
n,Shame Ubisoft won't be showing Beyond Good &amp; Evil 2 this E3  #xbox #e3
p,Tetris is a trending topic? Cool! I love that game. I have it on my DS 
n,@centac tbh i liked new!t-bag more.  but enjoy the episode. DD
p,@shinobininja Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
n,#quitsmokingdiary  5 Weeks tomorrow since giving up YAAAAAAYY!!!!               - I dont want to talk about it 
n,"UGH. Just when I thought it was over, I now have to stay here for the next couple of hours. "
n,Today's Mail: &quot;I bought my pants a size too big so my friends would ask if I'd lost weight.&quot; (via @postsecret) Me too.  Then they fit 
p,Good morning everyone 
n,"wish Zoe &amp; Lex werent wet from the rain, so they could sleep in my bed tonight ! "
p,@SassyStace Thank you for the #Followfriday shout-out 
n,tried to go to sleep at a reasonable hour and still hours later can't fall asleep 
n,@ErikaGallo yea.. i made it to the coliseum.  it was so much fun! the crowd was huge! i couldn't believe it.   i got really burnt though 
n,I just finished watching my 'EX' husband (John Cena) on TV loosing in the Royal Rumble or some shit to Triple H. 
p,@WeddingPlanner1  Sweet!! *arms in the air* Bonus for spit on a computer screen!!
p,"CH: To celebrate the release LVaTT, here are Katsu, Gi and I with our favorite Jonases! Teehee!  http://twitpic.com/7j4w8"
n,Being on a diet and forgetting your food at home sucks. I'm starving and can't eat anything at work 
n,"Webber doin okay, but seems nothing on Vettel atm "
p,@LauriRottmayer Only cookies can get me through this day! 
p,I love people that obnoxiously yell &quot;LOL!&quot; while laughing. I also love mocking them. LOLLL!! 
n,@HHumes yeah!!!  its 4 days before my bday as well!!!!! please kill me!!! 
p,Just played real vegas blackjack. First time ever. Doubled my $$$. 
n,turn right into my arms please turn right cos its been to long 
p,@selenagomez You and Demii  aww you are amazing  Take Care!! You ROCK!!!
p,#applejuice = yummy 
n,feel like going to jusco for my toner-hunting but i have no one accompanied 
p,@LifeExperiment yeah! 
n,"@AliciaWag I'm sorry, that sucks  I wish I had helpful advice. I'm still studying, but almost (!) done.."
n,Officially drugged up and taking a nap. Allergies ain't no joke. Never had them this bad since two days ago. 
p,@johndrewyap lets pray its not swine flu. lol. get well soon 
p,I #blamedrewscancer for my group ride getting canceled tomorrow! I guess I'll show drew's cancer who's boss and just go by myself! 
p,"@quanvu im good thanks, may need you're advice soon as im playing with a new font of my own "
p,@edenhig The girl that got the Ddub shout-out is CUCKOO. You would NOT want the association. Trust me. 
p,@britttnicole Hey Brit  I love your covers 
n,i dont wanna go to school tomoro  got two tests. aaa fuck.
p,@joshdhaliwal appreciated 
n,"@dougiemcfly lol, thank you for an awesome gig last night.  Had red bull, now I feel like I have a hangover from hell.  I'm starving.  X"
p,&quot;Only those who have learned the power of sincere &amp; selfless contribution experience life's deepest joy: true fulfillment.&quot; Tony Robbins 
p,1 more follower and will have 530 
p,"@gypsyroadhog and yourself as well  it's a bit chilly here on this side o' the pond too, but bright and sunny blue skies!"
n,I missed Real Housewives of New Jersey tonight and forgot to record the season finale of Law &amp; Order: SVU. Darn maaan. 
p,ahh i loove my Karen. The wee gem booked Blue Jays tickets for our trip to Canada  yays!
p,@uhllyssuh You should be a poet! Haha  
p,morning twits ! oh &amp; shout out to all my new followers 
n,Not a good day for the beach.  its been raining off and on all day.
p,@josianna Lol I can imagine! Must've been quite a sight!  Also read about the book(s) you're writing. They sound intriguing! x
n,"@OweeW meh,, ill go as a fairy.. coz im cool like that.. except my skirt is kind of short. so ill be  cold "
n,Make me sleep!!!!!! Ughhhhh my eyes won't close. 
p,@lih182  liiih to te follow ja 
p,"@AWDawno As I understand it, Kripsy Kreme is giving away free doughnuts as part of National Doughnut day "
n,my aunt died... sooo sad... 
p,@robbiecurlee  Good night sis and God Bless you! 
p,"@hutchiediboss hah, loserrrrrr  its actually pertty cool tho once u get in2 it"
p,so take your plastic thorax off your revision wall 
p,@mickeyglitter You're absolutely adorable!  
n,@bones_bones Damn I'm back at work now 
p,"@joelmadden http://twitpic.com/6pg75 - I support you  Good luck in quitting man, you're lessening your chances of lung cancer etc...w ..."
n,"Sleep tight everyone ,,,, in the real world tomorrow will be taping and mudding  have a great rest of the weekend you all ! hate renoes !"
n,"@MarkPower @lastkaled whilst you may think that I cannot possibly comment. My word count, not progressed for a month now "
p,"shower then brownies for breakfast (yummm!), then leaving for the mall (again), movies, then TGIF (for lunch?). So far so good "
p,is off to do some bikram yoga  stretch stretch stretch!
p,"@lancearmstrong is that like Planes, Trains, and Automobiles?  Best of luck Juan Pelota."
p,I just watched the video blog of David A..  I hope they had a great time here in the Philippines with David Cook..
n,@thebrassbunny nah it's still too cloudy out... 
p,@ShamuLVR  just one question- who is magic? I'm not American 
n,Just spent the afternoon playing the Wii with Saraht. She's hilarious when we're playing boxing. :x &amp; Omg - I've gots a pimple 
n,Has far to much work to do this week 
p,"@expressiongirl That might be my problem, during the school week I get like 3-4 hours a night, but at least summer's coming "
n,my tummy hurts 
n,is bummed. Rain kept me from riding the Grizzly Peaks Century. Next week I need to ride 2-3 times to make up for it. 
p,"@ToureX I love your tweets, Man. Keep it coming. "
p,@tferriss Welcome to Utah! Hope you like the mountains. 
p,"@frubiliciousdz9 I've got External SATA drives as main archive, internal as 2nd, Drobo as 3rd, more externals SATAs as 4th, DVDs as 5th "
p,@AnthonyCallea must have been a Nutella kind of day today. I did just that myself   Hope the studio stuff is going well! xox
p,Lucy is sitting on the couch with me  bad dog
n,terrible headache 
p,super excited for tomorrow  good night peepZ
n,Finally got a good DVD of the Grand Canyon Trip to burn. I guess 6 times is the charm. Maybe I should get a MAC 
n,@DebWorldOfBooks yes I know I read your review  hehe I can't wait to read it and finish it then I'll have to wait for the next two 
n,I keep hearing dogs colars shaking outside my room even after i rebuked satan in jesus' name 
p,"@odle2 yeah we could have a lisburn one, all 3 of us  #screwtheestablishment"
n,"@Lintwitt You have myspace 2.0, I can't leave pictures in comments because of it "
p,I'm on the proses or rewatching the old kimura takuya dorama..love generation here I come 
n,Off to Babies R Us to buy a shower gift.......bleh  
p,"Jammin to Janis Joplin&lt;3  Damn, Austin is lookin gooood in his new pics from Italy "
n,@_G_G_ if u had asked i would of gone 
p,@nick_carter So have fun tonigh 
n,Watching the new KNightrider on Sky+  Worried to say I'm actually enjoying so far 
p,@destroytoday No pressure mind Jonnie. You are doing a fab job. Just keep at it LOL 
p,just ate breakfast 
p,"love music, love galaxy.. (8) listening to the radio on my fone "
n,@RedRocksBurly Work.....then housework.....so not at all exciting! 
n,Last night I failed in my secret mission (IRL not #Spymaster) assigned to me by @pistachio   Now operation PNM starts in earnest
p,Enjoying the day... 
p,"O.C. star Benjamin McKenzie is all grown up and enforcing the law and stuff. His new show, Southland hope this show comes to AUS "
p,@loriboucher We're all glad @jasonboucher was born!! He's so amazing for such an old fella ...er... I mean young fella. 
p,"Hell-o, twitterers! "
n,"just got home. rufff. rufff, ruff night. "
n,is actually really sad right now.  there only in Cali for like 3 mire hourss.
n,@overpopulated Woe is me y/y?? 
p,@candycubes stay tuned! Wanna see a picture of your new hat 
p,Going to HIN NJ this weekend 
p,DAYUM!  Can't wait for Cradlesongs tour....hopefully!    COME TO COAST OF NC DAMMIT!   http://tinyurl.com/ldtutq
n,@vansouza I envy you  I am want a brand new iPhone 3G &quot;ass&quot; too
n,How long does it take to tell someone if they've got the job or not - a week and still counting 
n,"had to much red red wine last nite, gotta go to work hungover.,.not good... "
p,"@zacseif Owl City, for sure. "
p,eating maggi in office cooked by dabba and medhamsh(another dabba) 
p,@CosmicFaery go anyway... enjoy the breeze and the brightness... so much beauty! 
n,Hope there's some1 can cheer me up 
n,Just watched Die Hard 2.. Knee hurts  Going to bed!! I love her so much!
n,My little man has a cough 
p,@MaddieFoo  its showing at odeons too if you ahve one near ya?
n,"@SporkTheEmu haha, i think it's safe to say that i didn't sleep at all last night  stupid insomnia. plus, i'm fraking hungry! ahhhghgsg"
n,cleaned the bathroom as an attempt to make up for having no rent money 
p,@MESSwilliams51 Oopsies... I just got ur Tweet from last night...but thanks 
n,@NATTEH I went there when i was a radio student and i was fiddled... 
n,"Here it is June, my deadline has past for my 2nd book.  I haven't written book 2 beyond 60 pages   I feel demotivated. I have to press on"
p,life is good. i cant complain! about to get my rest in prep for a long day that hopefully ends with a wild&amp;crazy night! 
n,@geishacat awww Im sorry for making u feed bad 
p,"@SadikMorshed I guess you'll have to get started on a new plan. I do prefer somewhere warm, for the record. "
n,is on her way to UAE exchange. then will have brunch later by herself.  on USBY today. be right back!! )... http://plurk.com/p/xk2jv
p,@NIYANA http://twitpic.com/6s6nv - cute pic!! he is such a cute lil boy 
n,@Cremeamerican You didn't have to change it O_O  I was just saying I didn't realize it was you at first 
p,@ibdango thanks 
n,Funerals suck  was quite an honor to be at the armed forces cemetary though
n,damn both the teams i was rooting for got slapped 
n,"@darklord1  Very quite here, got one goth/ebm club and a few alternatives one.. nothing as fun as London "
n,"I want see @metrostation and @tracecyrus tonight! Why can't I, whyyyy? "
n,i miss mcfly... 
n,"wanna go to the gym but its closed  guess ill go to the track instead and work on my driving, w00 for burning gas."
n,"Going to school  (If I won from #squarespace, I wouldn't be bored on the commute)"
p,"@Honeypott310 no jesus thing, just how i am,  alone and outcast,, never did well in crowds, always too quiet, maybe why I love to write"
p,@ellasadie  well its not my fault XD
p,@unclebobmartin which seemed clear? my question about the cat? 
n,Ugh I don't wanna go to bed 
p,The first of the birthday cards has arrived! Apparently I am loved! 
n,@dvldb I couldn't find it on google  I could only find places to download it to your iPhone.
n,@icklesal  mmm I may be the same...but it's worth a go. My bro always made the planes etc wen we were little but would never let me help! 
p,I'm watching me some E3. I'm such a little nerd. 
p,@liamsbitch ello new follower!! How did u stumble onto my Twitter then? 
n,"How can my little finger still be broken, 12 full weeks after I broke it? "
p,Yay! Twitter finally did let me to change my picture! 
p,"@Jonasbrothers @greggarbo Good job, guys.  I really love that song."
p,"@Franklero surely not... but I didnt watch, so i can be neither for nor against you... so you can count me on your side "
n,"@jessiiemcfly I just tried, it's crashed "
n,"(cont.) me to make a video for you guys to see the build at the least. i can't release still, because files are all traceable "
p,@kittynel Go ahead. I saw it at least 10 times. 
p,@epicwagg Yeah he really is awesome. 
n,I love you Grandma 
p,Just got another coupon in the mail for FREE Mars chocolate! But this one came to hubby- and I thought he didn't like chocolate! 
p,"@joseusa lol yes!! come to london, you can show me how to do server checks here "
n,"Serious pancake butt, tho... "
p,Im waiting for my Maggi Mee to be cooked nw 
p,Going to sleep now i gotta get up early tomorrow to go workout  Hope i dont get to soar I have a party to go to tomorrow 
n,is nervous for her first day of work tomorrow...gah i have entred a sanctum which i cannot escape for at least another 50 years 
p,@mgfqoh what is sorting out?!  hooray for some good news!  I am excited but don't know why!  
p,"Blending enough watermelon to make a tall glass for breakfast. Mmmmm, fresh is always best! "
p,"@MoMoToYou Quorn is pretty good, it is even better than MorningStar. I love their &quot;chicken&quot; patties and nuggets. I eat a lot of Amy's "
n,i hate the rain  x School Holidays Soon  x
n,@alex_mauricio i sent ray some info about you guys performin at six flags but i guess u guys arent ready cause he didnt respond 
p,@pkjaz  cool  me too 
p,@EmmeRogers Booze and geeks... oh how could I possibly resist 
n,Hot water doesn't work...getting it replaced.  Of course this is delaying my shower.  And I have to be ready to work in 13 minutes. 
p,http://twitpic.com/3i8rw - It came! 
n,bein a bum watchin bad boys in shit...gotta hop in the shower and get ready 4 hollyweird shortly  lol
p,oh well just you  *aLi&amp;Me*
n,@mikeschmid i loved pushing daisies also. im so sad it's not coming back. 
p,Is watching Bruce almighty 
p,is home from dinner with barkada  http://plurk.com/p/ulajo
n,"Anyone using Adobe BrowserLab? I wanted to check it out, but it says they're not accepting any new users. "
p,"@ijuanes More shirts?? Sure I can try, I'll have to get some assistance.  I'll see what I can work out."
p,@fueledbyrealynn  i want some  jk
n,I didn't get coffee before class  I was running late &amp; ppl on Baylor's campus can't drive!  I'm hungry...lol I sound like a fat kid
n,"Yea figures he'd have to work saturday. Gracies b-day, our 1 month, &amp; the concert. &amp; he has to work. Great.  ...sigh..."
p,i lovesunny saturdays ! have a great time everyone 
n,"going to bed popping tylenol for my fever, then 2 gravol, hot bath and bed. night yall, maybe i feel better tomorrow "
p,@joAnn_was_here &quot;I'm On a Boat&quot; - The Lonely Island. WHOT YOU DIDN'T KNOWWWW?! XD hahaha 
n,@kay2thetie thank youuuuu. im sorry about your friend 
p,Since when do we get summer weather in May? Not that I'm complaining..... 
p,@robby_therobot Hey Robert! Nice to see you on twitter. Happy Austin Pride 
p,"@FordLawnmower Hey, I have that quote on my wall, never knew who said it though, I picked it up years ago "
p,read a bedtime story to the boys and now they're fast asleep. 
p,just back from the beach 
p,"@Anne_Twitt Poor baby, I can help you  lol"
p,Mmmm Chilli Crab &amp; Deal Or No Deal.....And thats life ! 
p,@DDubLover i typed you a message over at the comm too! 
p,@grahamblackall sure do!  I go to pilates bodies it is on rutland (I think that's how you spell rutland) 
p,Toy Story 3 teaser: http://bit.ly/evtut  
p,"Vanilla Carmel tea anyone?  I wanna have a tea party! Awww that'd be so cute, it would probably end up a hyphy party. LOL"
p,@lizzyron ay jon! lol. i start next week! wednesday i'm outta here! i cant wait 
n,Getting into the swing of things. I miss someone 
p,Had fun with miss LeGros! The yogurt was soooo good!!! Watching Run's House now  Get to hang with Aunty Lori tomorrow!!!
n,@sleep_til_noon i started a new temp position in a diff. part of my building &amp; they play country. at 8am. not cool 
n,would be keen as for an ipod touch but got no money 
n,"@Octo77 staying in, hve June exams 4 docent training class ,need to study  , we hvng zombie movie sunday aftrn, u both shld come over!"
n,needs to revise more for her history GCSE exam coming up soon 
n,@seobelle no breakfast today? 
p,@audreytang You're better off with Star Trek and Terminator. Noted: Revolutionary Road 
p,gunna take some sweet photos of my sweet ass car tomorrow and sell it so I can get an even sweeter car 
n,@sheridamn Ouch... 
n,just realized my butt pockets are still wet  fail
p,@heynadine OMG TIMMIES 
p,I finally finished getting all the junk out of the store room in college. Finally im free 
p,"OMG Marc Jacobs named a bag after me but i cant post the link to NeimanMarcus cause it's html! go check it out tho, it's the Angela hobo "
n,Well so much for sleeping all night! The kiddo woke up from another nightmare. Evidently inherited the spider nightmares from her mama. 
n,[I want to go to Greece!  ]... @t the beeach..
p,Eating some goody goody yum yums  aka food
n,@MariaBeckett ... LUCKY. I want to watch but it doesn't even start airing here till next week 
n,Ahh all that happiness of playing and now I have to get back to work. 
p,happy mothers day 
n,@petewentz ugh yes 
p,"@ahall105 Yeah it's kind of driving me nuts hearing everything going on. But, need to be around cuz of peeps in the house. "
p,Miss danger think the same of Miss President 
p,running outside on this beautiful day with my wonderful boyfriend.... as soon as i get out of work 
p,WiSH  MY MAN @pworld12 A HAPPY 25TH!  HE MiGHT BE CRAZY.. BUT HE DESERVES iT.. LOL   LOVE YOU BABY!
n,@tatylicous I wanted to dance with you awwwww  LOL LOL maybe next time I just wasn't going to leave my friend that's why I'm not like that
